name,optimizer,learning_rate,seed,best_val_r2,epoch,train_loss,val_loss,val_mse,val_r2,runtime_s,state
trial-45-muon-lr0.003-s4,muon,0.003,4,0.8013837933540344,99,0.2600718572909056,0.4688682627219421,0.4688682627219421,0.6395471096038818,494,finished
trial-46-muon-lr0.003-s5,muon,0.003,5,0.8137491941452026,99,0.2581558941119863,0.3285968452692032,0.3285968452692032,0.7616409063339233,510,finished
trial-54-muon-lr0.001-s3,muon,0.001,3,0.819411039352417,99,0.23355167451523995,0.2578570743019764,0.2578570743019764,0.8084729909896851,298,finished
trial-53-muon-lr0.001-s2,muon,0.001,2,0.809454083442688,99,0.22855942710772045,0.43231177375866814,0.43231177375866814,0.6780461072921753,288,finished
trial-49-muon-lr0.003-s8,muon,0.003,8,0.8080862760543823,99,0.2614890302047711,0.32752567071181077,0.32752567071181077,0.750070333480835,443,finished
trial-60-muon-lr0.001-s9,muon,0.001,9,0.796803891658783,99,0.22350630285434944,0.2905424558199369,0.2905424558199369,0.7838267087936401,306,finished
trial-51-muon-lr0.001-s0,muon,0.001,0,0.8077035546302795,99,0.2249551453273888,0.29849457419835607,0.29849457419835607,0.7711204886436462,373,finished
trial-50-muon-lr0.003-s9,muon,0.003,9,0.8034728765487671,99,0.2585849177756513,1.6729994651216726,1.6729994651216726,-0.2534933090209961,489,finished
trial-52-muon-lr0.001-s1,muon,0.001,1,0.8019019961357117,99,0.228377370120481,0.5266276217423953,0.5266276217423953,0.5977924466133118,358,finished
trial-59-muon-lr0.001-s8,muon,0.001,8,0.8032863736152649,99,0.22897745388769364,0.3303888868827086,0.3303888868827086,0.7481205463409424,314,finished
trial-55-muon-lr0.001-s4,muon,0.001,4,0.8086915612220764,99,0.2293686977652616,0.4202504841180948,0.4202504841180948,0.6769924163818359,303,finished
trial-57-muon-lr0.001-s6,muon,0.001,6,0.7981062531471252,99,0.2237752828198348,0.27890138500011885,0.27890138500011885,0.7888270616531372,355,finished
trial-58-muon-lr0.001-s7,muon,0.001,7,0.7967070937156677,99,0.2190061108490755,0.29532305277310883,0.29532305277310883,0.7795660495758057,340,finished
trial-56-muon-lr0.001-s5,muon,0.001,5,0.8167925477027893,99,0.22449412462554236,0.2893603062400451,0.2893603062400451,0.790336012840271,332,finished
